Date,mean_gate,p90_gate,p99_gate,mean_eta_gate,mean_cost_mod_ratio,phase_eta,phase_low,phase_high,phase_W,w_res,w_dir,w_amp,phase_alpha,phase_gamma
2025-04-30,0.10589709642764877,0.20716346750382944,0.41180265531292903,0.0953073867848839,0.10589709642654428,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-02,0.09768000155905643,0.20783659022819342,0.32146873346649996,0.0879120014031508,0.09768000155794265,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-05,0.10258425005054389,0.21020364555077567,0.4515321378409055,0.0923258250454895,0.10258425004942125,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-06,0.1005454343029549,0.22631583601729982,0.4730523736169591,0.09049089087265941,0.10054543430183249,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-07,0.09598467716081065,0.21456314225412002,0.29421150564616355,0.08638620944472958,0.09598467715970674,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-08,0.10569445631890462,0.252856048016035,0.453896879814243,0.09512501068701416,0.10569445631780008,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-09,0.11615584701822022,0.2433165393790803,0.41956163573706534,0.10454026231639821,0.11615584701712686,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-12,0.09598802055682354,0.2312894170794701,0.40283192001542656,0.08638921850114119,0.09598802055572925,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-13,0.09414645808279803,0.20412282517985406,0.36783718067790305,0.08473181227451823,0.09414645808169796,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-14,0.10264721508339777,0.22042204873329424,0.3627468026062702,0.092382493575058,0.10264721508229473,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-15,0.09624302516022279,0.21478953315468025,0.3360734811820028,0.08661872264420051,0.09624302515912081,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-16,0.10307105121073709,0.22779376320361786,0.40136880615601717,0.09276394608966339,0.10307105120963762,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-20,0.09170972625664212,0.18993660808629684,0.45302661682799805,0.0825387536309779,0.09170972625550855,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-21,0.09297035146559086,0.19182919568895065,0.3112300917586431,0.08367331631903178,0.0929703514644613,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-22,0.09564559343037987,0.2006747252208841,0.3474478594599057,0.08608103408734188,0.09564559342924664,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-23,0.1016778832403158,0.22884512878535354,0.3708293847280866,0.09151009491628423,0.10167788323919241,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-26,0.09908658615963702,0.20996956124923005,0.37745710566613344,0.08917792754367332,0.09908658615849869,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-27,0.09971649026298737,0.22669591293846172,0.40211948936871683,0.08974484123668863,0.09971649026184755,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-28,0.10252137817236948,0.23569417938188283,0.4064942813737527,0.09226924035513254,0.10252137817124846,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-29,0.10029601113443537,0.26188991209713464,0.4225285841059455,0.09026641002099184,0.10029601113331774,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-30,0.09490348238200251,0.2136305242193278,0.3748019285711403,0.08541313414380226,0.09490348238088941,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-02,0.1022609995761072,0.23556573757779642,0.4302051622994648,0.09203489961849648,0.10226099957500359,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-03,0.10089783249556762,0.23082513642375843,0.45038113401574936,0.09080804924601087,0.10089783249446363,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-04,0.09695633920920406,0.233781054471927,0.4168377136500702,0.08726070528828365,0.0969563392081123,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-05,0.09593273124578303,0.22234325232310778,0.4088403222711159,0.08633945812120472,0.09593273124469041,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-10,0.09997766740582811,0.2351750056614422,0.4323673095215089,0.0899799006652453,0.09997766740472523,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-11,0.09492321960309123,0.21970363012986827,0.41011098668894697,0.08543089764278211,0.09492321960200688,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-12,0.09408962634160085,0.19247918491909946,0.41387526190248247,0.08468066370744078,0.09408962634052323,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-13,0.10612660243223888,0.2635814355177498,0.4539356743143087,0.095513942189015,0.10612660243116459,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-16,0.08400504041270188,0.20232770668481045,0.2988284505982135,0.07560453637143169,0.08400504041161973,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-17,0.09698969947783884,0.20073482146351637,0.4140993912373726,0.08729072953005496,0.09698969947675759,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-18,0.10554431006842592,0.2552793811312011,0.3853115808162524,0.09498987906158333,0.10554431006733296,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-19,0.09568611710668087,0.2047665736180754,0.4060022572703757,0.08611750539601279,0.09568611710558862,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-20,0.08004813314618246,0.18464113530863993,0.3563992550148507,0.07204331983156421,0.08004813314509437,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-23,0.09105845284462849,0.22705783620239686,0.41659771646312627,0.08195260756016565,0.09105845284355867,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-24,0.10410988088648031,0.2313249455888507,0.398256080472894,0.09369889279783228,0.10410988088541233,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-25,0.08635693001633095,0.19582430597794379,0.41720397543318893,0.07772123701469785,0.08635693001525355,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-26,0.08575395396841891,0.2111345276926819,0.38494528780810966,0.07717855857157702,0.08575395396734617,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-27,0.0795086346940718,0.17367125174991604,0.3945069456964458,0.07155777122466461,0.07950863469300087,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-06-30,0.0911730954784352,0.20210183877529406,0.4282082815794226,0.08205578593059168,0.09117309547734058,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-01,0.09035723485918085,0.21880195881355155,0.43617193679864036,0.08132151137326277,0.09035723485809209,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-02,0.08124005407491663,0.17121777710366112,0.39559177235188,0.07311604866742498,0.08124005407383932,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-03,0.08895391031940328,0.21352333402553805,0.373904671235119,0.08005851928746295,0.08895391031831866,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-04,0.08597592323037817,0.20358992627861455,0.3932061921485771,0.07737833090734035,0.08597592322926531,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-07,0.08151450064469966,0.17765814513460135,0.38461027843209483,0.0733630505802297,0.0815145006435959,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-08,0.09502691411918397,0.23468837577793458,0.4178263622095511,0.08552422270726558,0.09502691411807493,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-09,0.08942905916139837,0.19421450398890835,0.36931552177098,0.08048615324525854,0.08942905916030192,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-10,0.08208720726679962,0.1618603608693439,0.27740198270395355,0.07387848654011966,0.08208720726570713,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-11,0.09358476541091132,0.23890308842406052,0.41601548172471164,0.08422628886982018,0.09358476540981038,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-14,0.10963854267975817,0.30135735274261655,0.4485268690889358,0.09867468841178235,0.10963854267864646,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-16,0.09813361011521088,0.25880073798857534,0.4087978397196512,0.0883202491036898,0.09813361011408177,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-17,0.09694168539847232,0.24566121356474724,0.39675498927999425,0.0872475168586251,0.09694168539733172,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-18,0.09141593173642777,0.20400565948237606,0.38218264031926724,0.082274338562785,0.09141593173529271,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-21,0.10556538264868895,0.26124359450666507,0.4441630044336166,0.09500884438382005,0.10556538264755749,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-22,0.0977939051172855,0.2213256720987684,0.34731381898668906,0.08801451460555695,0.0977939051161377,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-23,0.10176116416076289,0.22448403047202553,0.4293718515781259,0.0915850477446866,0.10176116415960279,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-24,0.09781011329987095,0.24770160623678186,0.3723029205197238,0.08802910196988385,0.09781011329871768,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-25,0.11046005275986209,0.3137080745552728,0.4510224707225441,0.09941404748387589,0.1104600527587109,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-28,0.10207535328659623,0.25436838924309524,0.34199044817102836,0.09186781795793661,0.1020753532854539,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-29,0.1099833993368608,0.22919480314186894,0.4303661661413629,0.09898505940317472,0.10998339933575137,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-30,0.10640925622961929,0.25599074212398637,0.4209860544547069,0.09576833060665736,0.10640925622850973,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-07-31,0.10495183956053473,0.2794129236589025,0.368400946238384,0.09445665560448126,0.10495183955944516,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-01,0.09034179187775716,0.22651429941972834,0.41621295342658465,0.08130761268998145,0.09034179187667009,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-04,0.09833184046782248,0.2541858242527123,0.3580642520707315,0.08849865642104024,0.0983318404667253,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-05,0.09905764882088568,0.2177431054158283,0.3202934161189713,0.08915188393879711,0.09905764881978725,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-06,0.10267763495399493,0.24492098993047498,0.41899519432382937,0.09240987145859544,0.10267763495289804,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-07,0.09894694227258151,0.2240801295531166,0.4021092235548276,0.08905224804532336,0.09894694227148591,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-08,0.10594504257596946,0.2361191187085626,0.3874441573250226,0.09535053831837251,0.10594504257488996,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-11,0.11335577495991327,0.2760173208733827,0.4099410727160922,0.10202019746392194,0.11335577495882336,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-12,0.11891553847578351,0.28885185874192815,0.39299648733029013,0.10702398462820516,0.1189155384746819,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-13,0.10810738344035617,0.2581812678606385,0.39224752041744965,0.09729664509632055,0.1081073834392703,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-14,0.09736916384701541,0.2040792206573882,0.3755525662206184,0.08763224746231388,0.0973691638459118,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-15,0.10485155075112129,0.2476942349015614,0.3634567734614571,0.09436639567600917,0.10485155075000913,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-18,0.10027426020355755,0.24556094247906254,0.30250752648702206,0.0902468341832018,0.10027426020244842,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-08-19,0.10072161345690787,0.21948883470949584,0.3504493999365053,0.09064945211121708,0.10072161345579328,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
