Date,mean_gate,p90_gate,p99_gate,mean_eta_gate,mean_cost_mod_ratio,phase_eta,phase_low,phase_high,phase_W,w_res,w_dir,w_amp,phase_alpha,phase_gamma
2025-04-24,0.09411505876348357,0.2070108100051905,0.37306313255163703,0.08470355288713521,0.08916163461700569,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-25,0.09230077917029839,0.1962771165173272,0.33005645521768384,0.08307070125326856,0.0874428434234648,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-28,0.0947834761996269,0.19773569158805673,0.3626504067991211,0.08530512857966421,0.08979487218808863,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-29,0.09386524050326006,0.20386097616417667,0.37587094967239765,0.08447871645293406,0.08892496468626743,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-30,0.092073191751616,0.19952811448585558,0.2965237397919155,0.0828658725764544,0.08722723428996919,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-02,0.09485436044075927,0.20768720373307945,0.38917808739053766,0.08536892439668335,0.08986202567968522,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-05,0.09578516453685224,0.20839777449821043,0.3799363965887816,0.08620664808316701,0.09074384008651042,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-06,0.09450062783360418,0.2056762866494201,0.3125695338374188,0.08505056505024376,0.08952691057818057,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-07,0.09305823886307057,0.20161821685598025,0.3644353899703049,0.08375241497676351,0.08816043681661953,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-08,0.09026203554460785,0.20488891808359844,0.3466521764244819,0.08123583199014707,0.08551140209386685,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-09,0.09103615313259983,0.21028471728827394,0.35033864824308275,0.08193253781933985,0.08624477665090932,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-05-12,0.09553340896993476,0.21655054061050166,0.37913507042791783,0.08598006807294128,0.09050533481259924,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
